portfolio,factor_model,sample_start,sample_end,n_obs,alpha,alpha_hac_se,alpha_hac_t_stat,alpha_p_value,hac_lags,r_squared,residual_volatility,coef_alpha,hac_se_alpha,hac_t_alpha,p_value_alpha,coef_mkt_rf,hac_se_mkt_rf,hac_t_mkt_rf,p_value_mkt_rf,coef_smb,hac_se_smb,hac_t_smb,p_value_smb,coef_hml,hac_se_hml,hac_t_hml,p_value_hml,prior_mean_alpha,prior_tau,shrinkage_weight,posterior_alpha,posterior_alpha_sd,posterior_alpha_ci_low,posterior_alpha_ci_high,posterior_probability_alpha_positive,posterior_alpha_annualized_bps,posterior_shortfall_annualized_bps,alpha_fdr_q_value,performance_rank,bootstrap_replicates,bootstrap_posterior_alpha_median,bootstrap_posterior_alpha_ci_low,bootstrap_posterior_alpha_ci_high,bootstrap_rank_median,bootstrap_rank_ci_low,bootstrap_rank_ci_high,bootstrap_top_quintile_probability,bootstrap_bottom_quintile_probability,bootstrap_block_length_months,bootstrap_random_seed
SMALL HiBM,ff3,1926-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,1193,0.001408467265410005,0.0006059142092412224,2.3245324897955575,0.020096972328290465,12,0.9287135389057841,0.02443081343322443,0.001408467265410005,0.0006059142092412224,2.3245324897955575,0.020096972328290465,0.9803465959682943,0.02165832196513417,45.264199024581316,0.0,1.28656127109618,0.0698107942635459,18.429259896961266,7.652274900252795e-76,0.8886952643898034,0.04945848259715173,17.968510510692106,3.4382269722519893e-72,-0.0002130229554029507,0.0007837112125998519,0.6622470501762958,0.0010959931809999956,0.0004605258785131278,0.00019336245911426514,0.001998623902885726,0.9913407010935037,131.51918171999947,0.0,0.0628030385259077,1,5000,0.0013271076012645743,0.00048650815459038967,0.002306359328236522,1.0,1.0,6.0,0.9716,0.0,12,2026
BIG LoBM,ff3,1926-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,1193,0.0009818704185730433,0.00036133696247833463,2.7173262647657177,0.00658116968170141,12,0.955711047594195,0.011223228921097464,0.0009818704185730433,0.00036133696247833463,2.7173262647657177,0.00658116968170141,1.0309023832594493,0.009770296896527602,105.51392595099496,0.0,-0.1495699455211156,0.027939315812520085,-5.35338612172066,8.632337049424263e-08,-0.2692739946717192,0.020450100137004403,-13.167368025962308,1.3523021807375652e-39,-0.0002130229554029507,0.0007837112125998519,0.8612209921983921,0.0006550080814669537,0.00029558232393485964,7.56667265546288e-05,0.0012343494363792787,0.986653976866817,78.60096977603445,0.0,0.03290584840850705,2,5000,0.0007884264050715458,0.0001496911944753974,0.0014559659586795355,3.0,1.0,10.0,0.8134,0.0,12,2026
ME4 BM1,ff3,1926-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,1193,0.00041496537444961384,0.0005374368864440208,0.7721192663109782,0.44004379223450674,12,0.9296651078332636,0.01639834312434648,0.00041496537444961384,0.0005374368864440208,0.7721192663109782,0.44004379223450674,1.0731467043796994,0.01373531528622054,78.13047476647989,0.0,0.339609401327556,0.03970327808782653,8.55368668995833,1.1921822850138792e-17,-0.32906394791885835,0.02562774303973983,-12.840145439596188,9.76907736046582e-38,-0.0002130229554029507,0.0007837112125998519,0.7227355023268426,0.0006522440713269812,0.0004338008269223655,-0.00019800554944085524,0.0015024936920948176,0.9336522060391301,78.26928855923774,0.0,0.7323663966294698,3,5000,0.0005770548683310976,-0.00031282920830209425,0.0015585327292353794,5.0,1.0,15.0,0.58,0.0002,12,2026
ME1 BM4,ff3,1926-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,1193,0.0007034883391615926,0.0005720694285174324,1.2297254565494677,0.21879993072620296,12,0.9288833767484406,0.022039927838901886,0.0007034883391615926,0.0005720694285174324,1.2297254565494677,0.21879993072620296,0.9424326055724839,0.01955531996359362,48.19315701952319,0.0,1.233064752452349,0.09941603745063099,12.403076848286945,2.514783355749521e-35,0.5751768397230548,0.030678970065366115,18.748244758463365,2.0008657930506593e-78,-0.0002130229554029507,0.0007837112125998519,0.6990102992787879,0.0005093528563568338,0.00046076961476712645,-0.000393755588586734,0.0014124613013004016,0.8655153661835377,61.122342762820054,0.0,0.4558331890129228,4,5000,0.000676931155052516,-0.0001868451813215383,0.0016235534719890939,4.0,1.0,12.0,0.6884,0.0,12,2026
ME3 BM2,ff3,1926-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,1193,0.0008608762830574474,0.0005092004184342437,1.6906433142859207,0.09090494676382144,12,0.9294640915256704,0.017187309392217444,0.0008608762830574474,0.0005092004184342437,1.6906433142859207,0.09090494676382144,1.0172262186384498,0.01664522325407612,61.112200365912734,0.0,0.5606923055678528,0.034011830034129595,16.485214262367506,4.686304754376585e-61,0.04742354299338967,0.03889262835678696,1.21934528462163,0.22271316766793692,-0.0002130229554029507,0.0007837112125998519,0.7662768469253874,0.0004550441437703618,0.0004170364598005219,-0.0003623473174386611,0.0012724356049793847,0.8623938203653445,54.605297252443414,0.0,0.22726236690955356,5,5000,0.0005130874972603812,-0.00027880934280232183,0.0013413612204519574,5.0,1.0,12.024999999999636,0.513,0.0,12,2026
ME2 BM5,ff3,1926-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,1193,0.0003124081954515614,0.0004865642469965033,0.6420697726559562,0.5208278812149123,12,0.9523037697112564,0.01890980124739921,0.0003124081954515614,0.0004865642469965033,0.6420697726559562,0.5208278812149123,1.0658219368606172,0.020574955694589878,51.80190677838844,0.0,0.9257365397424602,0.04097302697226203,22.593803976678764,4.986378728099515e-113,0.8840192546103646,0.03722371507277906,23.74881853898645,1.1300604850273652e-124,-0.0002130229554029507,0.0007837112125998519,0.7518620175129526,0.0003847499642399684,0.0004041089699777598,-0.00040730361691644086,0.0011768035453963777,0.8294754938578002,46.16999570879621,0.0,0.7659233547278123,6,5000,0.00039814878889622436,-0.00040997063032336946,0.0012253736805641826,6.0,2.0,15.0,0.399,0.001,12,2026
ME4 BM4,ff3,1926-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,1193,0.00018868611703281183,0.0005322742570355011,0.354490405160111,0.7229713933804967,12,0.9147373546265155,0.019885811251911176,0.00018868611703281183,0.0005322742570355011,0.354490405160111,0.7229713933804967,1.034486593306196,0.020587321576308073,50.248721742253494,0.0,0.21444808490851744,0.03572997590580858,6.001909586332939,1.9501028870744052e-09,0.5662617841328217,0.053736423875027264,10.537764579380179,5.785780912728244e-26,-0.0002130229554029507,0.0007837112125998519,0.7240964393093351,0.00017363081155573839,0.0004418962958616963,-0.0006924859283331864,0.001039747551444663,0.6528114833692239,20.835697386688608,0.0,0.8606802302148769,7,5000,0.00020846185438598225,-0.000716122363297124,0.0011321821927483793,8.0,2.0,18.0,0.2306,0.003,12,2026
ME2 BM2,ff3,1926-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,1193,0.00017139834727828993,0.0005708209675930666,0.3002663829974766,0.763973973284287,12,0.9339302783065382,0.019195297417973472,0.00017139834727828993,0.0005708209675930666,0.3002663829974766,0.763973973284287,1.022611556561728,0.015463878314734605,66.12904833759217,0.0,1.005266769756432,0.06611741065778264,15.204267072096881,3.3131809959930112e-52,0.11752203246104498,0.046606280742535595,2.5215921671644472,0.011682506628163078,-0.0002130229554029507,0.0007837112125998519,0.6982198298447866,0.0001348346966700101,0.00046093163272035575,-0.0007685913034618871,0.0010382606968019075,0.61505793220504,16.18016360040121,0.0,0.8681522423685079,8,5000,0.0001349399218043624,-0.0008103613855728249,0.0009988179443768956,9.0,2.0,18.0,0.1986,0.0038,12,2026
ME3 BM4,ff3,1926-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,1193,0.0003657396449469181,0.000504766294339476,0.7245722407545366,0.4687144938428607,12,0.9343158606532161,0.017738744101660115,0.0003657396449469181,0.000504766294339476,0.7245722407545366,0.4687144938428607,0.9942791365227804,0.022156363326788758,44.875556600059,0.0,0.47666206839016423,0.056158562585603165,8.487789687700474,2.1060426015853404e-17,0.5623411638049132,0.05379079973230243,10.454225752423909,1.401386610959454e-25,-0.0002130229554029507,0.0007837112125998519,0.7706655039607441,0.00011453525854389319,0.0003970325914768524,-0.0006636486207507375,0.0008927191378385237,0.6135096530900201,13.744231025267183,0.0,0.7323663966294698,9,5000,0.00017913617501179871,-0.0006597207471677622,0.001000341783124478,9.0,3.0,18.0,0.184,0.0016,12,2026
ME5 BM3,ff3,1926-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,1193,-0.000318316199975882,0.0006659142796737312,-0.47801377698619557,0.6326403993480751,12,0.9045917550681769,0.017196889087296045,-0.000318316199975882,0.0006659142796737312,-0.47801377698619557,0.6326403993480751,0.9602325605471221,0.024684885199068547,38.8996162146768,0.0,-0.23116412017522664,0.029267111387784754,-7.898426227048422,2.8244687026207085e-15,0.33088040467697183,0.037234774324068715,8.886327651597698,6.316190949118201e-19,-0.0002130229554029507,0.0007837112125998519,0.6931671004622281,0.00010561799713589541,0.0004588376356981861,-0.0007937037688325495,0.0010049397631043402,0.591026377478414,12.674159656307449,0.0,0.8254762790994233,10,5000,1.4223119147254321e-05,-0.0008965182791930898,0.0008540954099326719,11.0,3.0,19.0,0.114,0.0068,12,2026
